"","Easting","Northing"
"146",19.4472573,-33.6425331
"147",19.4425736,-33.6456513
"148",19.4381391,-33.6477875
"149",19.4381391,-33.6477875
"150",19.4423106,-33.6457907
"151",19.4378986,-33.6467807
"152",19.4378986,-33.6467807
"153",19.4362787,-33.6444742
"154",19.4433275,-33.640877
"155",19.4516114,-33.6411776
"156",19.4433822,-33.6400966
"157",19.4448856,-33.6415375
"158",19.4528946,-33.6427481
"159",19.4535826,-33.6418783
"160",19.4530412,-33.6426764
"161",19.4535826,-33.6418783
"162",19.4526603,-33.6422708
"163",19.4509746,-33.6430465
"164",19.45076,-33.6431549
"165",19.4489398,-33.6397142
"166",19.4517821,-33.6389119
"167",19.4491367,-33.6438396
"168",19.4460065,-33.6397295
"169",19.4484791,-33.6443607
"170",19.4498558,-33.6397833
"171",19.4372743,-33.6454138
"172",19.4372743,-33.6454138
"173",19.4476897,-33.6446947
"174",19.4458012,-33.6398824
"175",19.4445467,-33.6462315
"176",19.4457992,-33.6456167
"177",19.4452871,-33.6458682
"178",19.4427858,-33.6469443
"179",19.4467157,-33.6450206
"180",19.4467157,-33.6450206
"181",19.4430303,-33.646842
"182",19.4452871,-33.6458682
"183",19.4430303,-33.646842
"184",19.4404734,-33.6482237
"185",19.4426386,-33.6471653
"186",19.4384988,-33.6490352
"187",19.4387632,-33.6489052
"188",19.4402436,-33.6482857
"189",19.4390518,-33.6487646
"190",19.4382358,-33.6491634
"191",19.4373602,-33.6503288
"192",19.4397895,-33.6491214
"193",19.4370911,-33.6467348
"194",19.4430813,-33.6476914
"195",19.443251,-33.647623
"196",19.4417764,-33.6481928
"197",19.4399786,-33.6440742
"198",19.4497855,-33.6398258
"199",19.4434919,-33.6474574
"200",19.4464014,-33.6415282
"201",19.4434919,-33.6474574
"202",19.4446179,-33.6468227
"203",19.4446179,-33.6468227
"204",19.4448919,-33.6466887
"205",19.448251,-33.6450715
"206",19.4440036,-33.6470583
"207",19.4471248,-33.6455431
"208",19.448251,-33.6450715
"209",19.4515527,-33.643439
"210",19.4487663,-33.6441056
"211",19.4470508,-33.6448569
"212",19.4490077,-33.6447333
"213",19.4393156,-33.6486353
"214",19.4512989,-33.6442773
"215",19.4434717,-33.6468061
"216",19.4513882,-33.6428749
"217",19.4369126,-33.6505836
"218",19.4506458,-33.6425993
"219",19.4515003,-33.6428213
"220",19.4490077,-33.6447333
"221",19.4463976,-33.6430961
"222",19.4475803,-33.6452907
"223",19.4434717,-33.6468061
"224",19.4477388,-33.6452096
"225",19.4478493,-33.645596
"226",19.4515003,-33.6428213
"227",19.4478224,-33.6453949
"228",19.4497946,-33.6442556
"229",19.448412,-33.6453268
"230",19.4482255,-33.6454118
"231",19.4480434,-33.6455071
"232",19.4482255,-33.6454118
"233",19.4480434,-33.6455071
"234",19.4483511,-33.6456716
"235",19.4478493,-33.645596
"236",19.4428964,-33.6477067
"237",19.4481322,-33.6457787
"238",19.449492,-33.6445879
"239",19.4479132,-33.6458853
"240",19.4483511,-33.6456716
"241",19.4485711,-33.645569
"242",19.4367514,-33.6506633
"243",19.4479132,-33.6458853
"244",19.4380841,-33.6499636
"245",19.4507065,-33.6439017
"246",19.4413625,-33.6486539
"247",19.4475189,-33.645761
"248",19.4405224,-33.6487812
"249",19.4507065,-33.6439017
"250",19.4504462,-33.6432882
"251",19.4494893,-33.6438109
"252",19.4380841,-33.6499636
"253",19.4505362,-33.6428635
"254",19.4505994,-33.6429548
"255",19.4504729,-33.6427722
"256",19.4507856,-33.6428358
"257",19.4532217,-33.6425129
"258",19.4532217,-33.6425129
"259",19.4508735,-33.6437535
"260",19.4411944,-33.6455535
"261",19.4504857,-33.6431168
"262",19.4416262,-33.6486306
"263",19.4411944,-33.6455535
"264",19.4423414,-33.6470769
"265",19.455067,-33.6433114
"266",19.447311,-33.6443931
"267",19.4466236,-33.6438028
"268",19.4466998,-33.6437663
"269",19.4506079,-33.6432939
"270",19.4508735,-33.6437535
"271",19.4384541,-33.6476361
"272",19.4528763,-33.6421652
"273",19.4393983,-33.6509539
"274",19.4395159,-33.6506997
"275",19.4393983,-33.6509539
"276",19.441724,-33.6496162
"277",19.441724,-33.6496162
"278",19.4528763,-33.6421652
"279",19.4413683,-33.649998
"280",19.4415401,-33.6497106
"281",19.4358592,-33.644541
"282",19.4435176,-33.6488888
"283",19.4434116,-33.6489455
"284",19.4460866,-33.6474027
"285",19.4454878,-33.6475975
"286",19.4440036,-33.6470583
"287",19.449647,-33.6458752
"288",19.4516963,-33.6448876
"289",19.4515175,-33.6450614
"290",19.4515175,-33.6450614
"291",19.4497868,-33.6456806
"292",19.4530075,-33.6443538
"293",19.4522989,-33.6445938
"294",19.4530075,-33.6443538
"295",19.4477831,-33.6474408
"296",19.4479782,-33.6473456
"297",19.4527081,-33.644347
"298",19.4497868,-33.6456806
"299",19.4481737,-33.6472496
"300",19.4483687,-33.6471541
"301",19.4485639,-33.6470585
"302",19.4483687,-33.6471541
"303",19.4489407,-33.6439349
"304",19.4497753,-33.6464658
"305",19.4511438,-33.6457974
"306",19.4454878,-33.6475975
"307",19.4503618,-33.6461795
"308",19.4501662,-33.6462747
"309",19.4509484,-33.6458931
"310",19.4528918,-33.6449436
"311",19.4505573,-33.6460838
"312",19.4512702,-33.6456037
"313",19.4499708,-33.6463702
"314",19.453136,-33.644824
"315",19.4512702,-33.6456037
"316",19.4521598,-33.6453016
"317",19.4525126,-33.6451293
"318",19.4458303,-33.6483949
"319",19.4451108,-33.6490408
"320",19.4465132,-33.6480601
"321",19.4473486,-33.6476518
"322",19.4448021,-33.6491911
"323",19.4448021,-33.6491911
"324",19.4428311,-33.6501505
"325",19.4425935,-33.6502682
"326",19.4425935,-33.6502682
"327",19.451769,-33.6454923
"328",19.4421534,-33.6504793
"329",19.4448448,-33.6483174
"330",19.4431653,-33.6498625
"331",19.4544531,-33.6444343
"332",19.4431653,-33.6498625
"333",19.4567471,-33.6438507
"334",19.4416114,-33.6504314
"335",19.4513387,-33.6456988
"336",19.4461965,-33.6482151
"337",19.4440973,-33.6480284
"338",19.4526586,-33.6450571
"339",19.4520728,-33.6447567
"340",19.4519382,-33.6448336
"341",19.4526586,-33.6450571
"342",19.4406752,-33.6502324
"343",19.4419444,-33.6495097
"344",19.4489398,-33.6397142
"345",19.4458222,-33.6475965
"346",19.4439072,-33.6487035
"347",19.4503169,-33.6455554
"348",19.4513387,-33.6456988
"349",19.4493455,-33.6466766
"350",19.4489547,-33.6468676
"351",19.4484613,-33.648844
"352",19.4458222,-33.6475965
"353",19.4479631,-33.6476952
"354",19.4491499,-33.646772
"355",19.4489394,-33.6472204
"356",19.4487441,-33.6473158
"357",19.4493301,-33.6470295
"358",19.448576,-33.6478253
"359",19.4483537,-33.6475067
"360",19.4485487,-33.6474114
"361",19.4486531,-33.6404807
"362",19.4495527,-33.6473476
"363",19.4446532,-33.6484273
"364",19.4446532,-33.6484273
"365",19.447267,-33.6480328
"366",19.4469784,-33.6481747
"367",19.4466904,-33.6483159
"368",19.4470325,-33.6485803
"369",19.4473372,-33.6484314
"370",19.4471924,-33.6485027
"371",19.4464048,-33.6484553
"372",19.4468874,-33.6486504
"373",19.4501627,-33.6466223
"374",19.4476149,-33.6482961
"375",19.446329,-33.6489229
"376",19.4500403,-33.6466819
"377",19.4508715,-33.6466977
"378",19.4505299,-33.646443
"379",19.4467567,-33.6487153
"380",19.4507489,-33.6467571
"381",19.4502853,-33.6465624
"382",19.446329,-33.6489229
"383",19.4504078,-33.646503
"384",19.4503841,-33.6469373
"385",19.4501381,-33.6470565
"386",19.4477711,-33.6482194
"387",19.4543783,-33.6400203
"388",19.4502605,-33.6469973
"389",19.4553879,-33.6414739
"390",19.454925,-33.6408044
"391",19.4550343,-33.6409612
"392",19.4554994,-33.6416287
"393",19.454925,-33.6408044
"394",19.4549443,-33.6416899
"395",19.4556084,-33.6417857
"396",19.4556084,-33.6417857
"397",19.4468347,-33.648245
"398",19.4545966,-33.6403341
"399",19.4551599,-33.6420042
